,name,pLDDT_full,pLDDT_inpaint,linker_start,linker_end
66,hit6_reloop_1195_0,0.832271,0.5697358,63,82
67,CSM8_reloop_415_0,0.8593704,0.68667597,63,75
68,CSM8_swap_620_0,0.8302762,0.5905853,58,70
69,CSM8_reloop_1126_0,0.86835957,0.6315101,68,80
70,CSM8_swap_323_0,0.86046016,0.5868737,65,79
71,hit6_swap_982_0,0.83033854,0.7355136,63,80
72,CSM8_reloop_1425_0,0.83817846,0.655607,58,74
73,CSM8_reloop_116_0,0.8147704,0.6109095,64,78
74,hit6_reloop_1168_0,0.78543526,0.5761651,67,87
75,hit6_reloop_1496_0,0.81401646,0.53388953,58,69
76,hit6_reloop_1404_0,0.87562114,0.60608524,64,76
77,CSM8_reloop_184_0,0.85320777,0.69310826,69,85
78,hit6_reloop_961_0,0.8267263,0.60214365,65,84
79,hit6_swap_910_0,0.8242923,0.5557915,63,77
80,CSM8_reloop_1149_0,0.84438235,0.60472935,63,83
81,CSM8_reloop_487_0,0.8601834,0.61337364,62,83
82,CSM8_reloop_179_0,0.8438576,0.7065531,64,76
83,hit6_reloop_1107_0,0.8357811,0.6518493,66,85
84,hit6_swap_615_0,0.82811606,0.6639313,57,71
85,hit6_reloop_664_0,0.8288019,0.65175605,60,76
86,hit6_swap_1182_0,0.80530465,0.55553365,64,78
87,hit6_reloop_53_0,0.8390055,0.68919635,60,81
88,hit6_reloop_367_0,0.8341657,0.6634787,56,77
89,hit6_swap_1481_0,0.8279231,0.60305005,58,68
90,hit6_swap_316_0,0.7838376,0.5204436,65,74
91,CSM8_swap_1479_0,0.83871436,0.5922239,61,76
92,CSM8_swap_1187_0,0.83578545,0.72135854,66,76
93,CSM8_reloop_56_0,0.8329289,0.6518491,64,77
94,CSM8_reloop_1290_0,0.8704986,0.67090064,57,70
95,hit6_reloop_1223_0,0.8468664,0.6505079,67,79
96,hit6_swap_531_0,0.81678337,0.55820966,66,80
97,hit6_reloop_540_0,0.8057045,0.59417415,59,80
98,hit6_swap_481_0,0.82261556,0.6969056,63,82
99,hit6_swap_1316_0,0.8182141,0.53539354,62,77
100,CSM8_swap_57_0,0.8411105,0.58999854,57,68
101,CSM8_reloop_916_0,0.8344772,0.63598067,65,85
102,hit6_swap_182_0,0.8368558,0.567408,61,72
103,CSM8_swap_1313_0,0.848662,0.6221383,58,69
104,CSM8_reloop_310_0,0.8290577,0.52959687,68,88
105,CSM8_swap_125_0,0.8426439,0.53378755,57,74
106,CSM8_reloop_1320_0,0.8365076,0.653225,59,74
107,CSM8_swap_426_0,0.8193018,0.59003,63,74
108,hit6_reloop_1393_0,0.8297275,0.6251976,58,76
109,CSM8_reloop_613_0,0.85555583,0.5440278,68,82
110,CSM8_swap_1037_0,0.84206915,0.5674627,65,74
111,hit6_swap_758_0,0.8031499,0.57710576,60,79
112,CSM8_swap_807_0,0.8063707,0.5156396,62,81
113,CSM8_swap_702_0,0.87040544,0.53909844,58,68
114,CSM8_reloop_1004_0,0.8222107,0.7307741,67,88
115,CSM8_reloop_537_0,0.86269647,0.60035586,67,79
116,hit6_swap_41_0,0.83689034,0.72023475,67,84
117,CSM8_swap_201_0,0.8237352,0.53157854,57,69
118,CSM8_swap_293_0,0.8287475,0.59986967,58,70
119,hit6_swap_832_0,0.8450768,0.66812676,59,71
120,CSM8_reloop_558_0,0.8316481,0.63286465,62,81
121,hit6_reloop_843_0,0.8306195,0.67229486,60,80
122,hit6_reloop_1025_0,0.85095835,0.60799736,58,73
123,CSM8_swap_790_0,0.8750491,0.62806183,55,69
124,CSM8_reloop_1096_0,0.8227748,0.6786909,67,85
125,hit6_reloop_746_0,0.84642434,0.7021897,67,80
126,CSM8_normal_51_0,0.8988842,0.47669443,58,74
127,CSM8_swap_1058_0,0.8365539,0.57471883,61,80
128,hit6_swap_737_0,0.8323331,0.6306358,55,70
129,CSM8_swap_868_0,0.8497607,0.566763,64,77
130,hit6_normal_54_0,0.88452893,0.6607857,58,74
131,hit6_swap_234_0,0.8080933,0.5654576,59,75
132,CSM8_swap_895_0,0.8028724,0.52196264,58,73
133,hit6_reloop_245_0,0.7814034,0.577739,62,80
134,CSM8_reloop_681_0,0.81958306,0.6344304,64,78
135,hit6_reloop_1301_0,0.84500283,0.6922616,59,72
136,CSM8_swap_449_0,0.82270914,0.5942569,57,67
137,CSM8_reloop_382_0,0.829546,0.7269559,67,86
138,CSM8_swap_1381_0,0.8356894,0.6289101,58,69
139,hit6_swap_110_0,0.8766197,0.56568426,58,69
140,CSM8_reloop_984_0,0.8369284,0.6773416,63,79
141,CSM8_swap_38_0,0.8218919,0.63773316,60,79
142,hit6_swap_1379_0,0.8585496,0.5500844,57,71
143,hit6_reloop_161_0,0.8362352,0.67451185,62,83
144,CSM8_reloop_979_0,0.83241135,0.6797036,62,80
145,hit6_reloop_462_0,0.8774295,0.6376543,65,77
146,hit6_swap_1384_0,0.84636265,0.5139705,58,68
147,hit6_swap_634_0,0.8160544,0.58413947,59,74
148,CSM8_swap_6_0,0.8447862,0.6760858,60,70
149,hit6_reloop_72_0,0.8137211,0.64946795,62,79
150,hit6_reloop_346_0,0.86214834,0.6709235,57,71
151,CSM8_reloop_77_0,0.8236136,0.6699925,67,79
152,CSM8_swap_996_0,0.76992714,0.55211383,66,85
153,hit6_swap_337_0,0.8320124,0.60060793,66,78
154,CSM8_swap_1458_0,0.8426885,0.6353319,57,67
155,hit6_reloop_940_0,0.83495903,0.6864454,60,72
156,hit6_reloop_1425_0,0.85954684,0.64250255,66,78
157,CSM8_reloop_1168_0,0.84217364,0.6598862,57,71
158,hit6_swap_931_0,0.8329555,0.594902,61,70
159,CSM8_reloop_1496_0,0.8285371,0.6617045,61,80
160,CSM8_swap_390_0,0.7994071,0.55017966,54,69
161,CSM8_reloop_1195_0,0.8571466,0.6614686,66,84
162,CSM8_swap_693_0,0.8128351,0.5700785,58,76
163,CSM8_reloop_158_0,0.8319446,0.657107,65,84
164,hit6_reloop_1126_0,0.86733234,0.6121547,64,75
165,CSM8_reloop_887_0,0.83112377,0.68076915,62,83
166,CSM8_swap_1282_0,0.8437278,0.63754326,59,70
167,hit6_swap_510_0,0.86869043,0.577089,64,74
168,hit6_swap_1287_0,0.85549515,0.50135577,61,72
169,hit6_reloop_561_0,0.85055083,0.6376749,67,84
170,hit6_reloop_1202_0,0.82921046,0.57129455,64,83
171,CSM8_reloop_782_0,0.8271927,0.64822567,61,78
172,CSM8_reloop_281_0,0.83283603,0.62954175,64,80
173,CSM8_reloop_213_0,0.78144896,0.56303376,68,85
174,CSM8_reloop_710_0,0.84203285,0.5881983,61,80
175,hit6_reloop_1290_0,0.83173895,0.64493924,61,79
176,CSM8_swap_525_0,0.84244996,0.59756136,59,78
177,CSM8_reloop_1223_0,0.7808325,0.56159854,66,83
178,hit6_swap_1215_0,0.82318085,0.53440374,60,79
179,hit6_swap_582_0,0.8336901,0.57835615,58,76
180,CSM8_swap_1210_0,0.82724035,0.5548593,62,71
181,CSM8_reloop_815_0,0.7905304,0.61365354,63,84
182,CSM8_reloop_434_0,0.8601236,0.6661135,65,78
183,CSM8_reloop_1107_0,0.80380094,0.55978376,67,81
184,CSM8_swap_601_0,0.85126144,0.5466859,58,76
185,CSM8_reloop_1404_0,0.783941,0.5615957,65,86
186,CSM8_swap_302_0,0.81914014,0.52059627,65,80
187,CSM8_reloop_137_0,0.8331293,0.6919529,60,74
188,hit6_reloop_1149_0,0.8289642,0.6780398,66,86
189,CSM8_swap_904_0,0.8347403,0.63508976,62,77
190,hit6_normal_8_0,0.88666147,0.5426013,58,72
191,CSM8_swap_1134_0,0.81401235,0.6107198,67,80
192,hit6_swap_1432_0,0.8237863,0.6308936,58,71
193,hit6_reloop_329_0,0.834991,0.626766,59,73
194,hit6_swap_1131_0,0.8706119,0.52504736,59,68
195,CSM8_reloop_18_0,0.85535455,0.6541671,56,69
196,hit6_swap_358_0,0.84651446,0.6694255,66,79
197,CSM8_swap_1437_0,0.8412,0.6042802,57,68
198,hit6_reloop_649_0,0.8654395,0.5539769,56,72
199,hit6_swap_1451_0,0.836344,0.5957177,64,83
200,hit6_swap_638_0,0.8447358,0.6291591,54,72
201,CSM8_swap_1157_0,0.8584637,0.4924672,60,73
202,CSM8_reloop_86_0,0.7842069,0.57027704,62,83
203,CSM8_swap_967_0,0.83974856,0.6189968,55,66
204,CSM8_swap_1454_0,0.82524884,0.6171751,63,72
205,hit6_swap_1152_0,0.8293892,0.59810567,66,84
206,hit6_reloop_83_0,0.83672434,0.69132555,58,77
207,CSM8_swap_662_0,0.857812,0.51050407,59,71
208,CSM8_reloop_1164_0,0.86481637,0.6358938,67,81
209,CSM8_reloop_457_0,0.79791176,0.5389554,62,76
210,hit6_reloop_1429_0,0.8059646,0.559594,68,87
211,CSM8_reloop_154_0,0.84816074,0.7446919,59,71
212,CSM8_swap_361_0,0.84222823,0.50182384,57,66
213,CSM8_reloop_1199_0,0.82869184,0.6777958,61,80
214,CSM8_reloop_1467_0,0.8440347,0.7250552,64,78
215,hit6_reloop_590_0,0.83865786,0.5505734,70,89
216,CSM8_reloop_876_0,0.81387436,0.58043873,65,80
217,CSM8_swap_1273_0,0.84144604,0.56428766,63,76
218,CSM8_reloop_270_0,0.8326689,0.5684558,63,79
219,CSM8_reloop_1240_0,0.8758927,0.63136935,61,78
220,CSM8_swap_546_0,0.8074662,0.5584874,54,70
221,CSM8_reloop_773_0,0.82555443,0.6031319,62,75
222,hit6_reloop_1261_0,0.8404797,0.67623186,64,76
223,CSM8_swap_529_0,0.83647674,0.5037426,64,75
224,hit6_swap_1219_0,0.868103,0.5333373,55,64
225,CSM8_reloop_819_0,0.85978544,0.6202916,66,85
226,hit6_reloop_502_0,0.8411042,0.6898443,57,72
227,hit6_swap_573_0,0.8328149,0.62059593,63,75
228,hit6_swap_952_0,0.8377768,0.658537,63,75
229,CSM8_reloop_438_0,0.80291367,0.5986079,57,78
230,hit6_reloop_1446_0,0.844468,0.7391379,60,76
231,hit6_reloop_923_0,0.84239125,0.6981848,66,78
232,hit6_reloop_1145_0,0.83580077,0.636346,62,79
233,CSM8_reloop_1408_0,0.80030227,0.5755442,65,80
234,hit6_reloop_626_0,0.82120687,0.639772,69,83
235,hit6_reloop_11_0,0.8607933,0.65963423,64,77
236,hit6_swap_657_0,0.83673596,0.5755044,56,65
237,CSM8_swap_1138_0,0.800547,0.6104102,59,76
238,CSM8_swap_908_0,0.8407952,0.750274,62,80
239,hit6_normal_4_0,0.8631982,0.5664228,58,76
240,hit6_swap_354_0,0.8228008,0.54585016,65,77
241,CSM8_reloop_14_0,0.8498111,0.6345355,63,78
242,hit6_reloop_325_0,0.7976757,0.5831495,65,81
243,hit6_reloop_102_0,0.8708762,0.6222219,59,70
244,hit6_swap_173_0,0.8329135,0.53066313,57,66
245,hit6_swap_470_0,0.83399475,0.59226584,61,80
246,hit6_reloop_401_0,0.84670573,0.68752,63,81
247,CSM8_swap_129_0,0.8375466,0.6599038,61,71
248,hit6_reloop_1362_0,0.8416371,0.71358764,67,79
249,hit6_swap_754_0,0.8124433,0.558454,63,73
250,CSM8_normal_32_0,0.90533555,0.46839175,58,74
251,hit6_reloop_725_0,0.82712376,0.5986402,58,71
252,hit6_reloop_226_0,0.8207798,0.6647467,62,83
253,hit6_swap_257_0,0.8412727,0.71957827,68,78
254,hit6_normal_37_0,0.8645461,0.60962105,58,73
255,CSM8_reloop_1008_0,0.8072418,0.63144857,69,84
256,hit6_swap_851_0,0.8642337,0.6367712,60,70
257,hit6_reloop_1046_0,0.82578194,0.6010633,58,73
258,CSM8_reloop_554_0,0.8692844,0.7063472,62,76
259,CSM8_reloop_1067_0,0.83839077,0.737911,65,83
260,CSM8_swap_761_0,0.8250319,0.55511796,61,74
261,CSM8_swap_262_0,0.8281141,0.48263368,67,84
262,hit6_swap_22_0,0.8550695,0.686381,61,80
263,hit6_reloop_1029_0,0.84565425,0.5503297,68,84
264,CSM8_swap_864_0,0.7617835,0.54734814,65,84
265,CSM8_swap_1054_0,0.818919,0.5742772,61,75
266,hit6_swap_1051_0,0.831255,0.6911739,63,81
267,hit6_reloop_249_0,0.84020203,0.6898206,62,79
268,CSM8_swap_899_0,0.81817406,0.5883326,60,75
269,hit6_normal_58_0,0.88744915,0.58290464,58,73
270,hit6_swap_238_0,0.87050664,0.5542809,59,68
271,CSM8_swap_146_0,0.78465384,0.49914962,61,77
272,CSM8_reloop_373_0,0.80813885,0.6031365,68,81
273,CSM8_reloop_670_0,0.86028624,0.65786195,68,85
274,CSM8_swap_445_0,0.85037374,0.5339943,61,70
275,CSM8_reloop_1343_0,0.8752849,0.6893199,70,86
276,hit6_reloop_493_0,0.7714656,0.56757104,67,86
277,hit6_swap_1375_0,0.8234028,0.66814315,65,76
278,CSM8_swap_34_0,0.81655437,0.61276466,61,80
279,CSM8_reloop_988_0,0.81493455,0.64705783,64,83
280,CSM8_swap_1370_0,0.8092626,0.50633657,55,69
281,hit6_swap_1388_0,0.8280527,0.56441295,62,77
282,hit6_reloop_190_0,0.8363614,0.71674955,66,85
283,CSM8_reloop_975_0,0.8561318,0.65013504,56,70
284,hit6_reloop_523_0,0.84117687,0.73704785,66,86
285,CSM8_reloop_838_0,0.8369244,0.56915116,62,79
286,hit6_swap_552_0,0.84343976,0.58941853,66,79
287,hit6_reloop_1240_0,0.8477075,0.69033116,58,71
288,CSM8_swap_508_0,0.79880756,0.6042994,64,83
289,hit6_reloop_30_0,0.84063005,0.69717085,68,86
290,hit6_reloop_607_0,0.79861253,0.57995635,65,86
291,CSM8_swap_929_0,0.808176,0.56963855,61,77
292,hit6_swap_676_0,0.78734046,0.6006181,66,77
293,CSM8_swap_1119_0,0.8194341,0.5791248,59,75
294,hit6_swap_388_0,0.84373283,0.5268927,68,79
295,CSM8_reloop_35_0,0.774467,0.5690727,68,85
296,hit6_swap_375_0,0.8270376,0.67854404,59,74
297,hit6_reloop_304_0,0.82651395,0.6718329,69,86
298,hit6_swap_973_0,0.83960646,0.6784015,60,70
299,hit6_reloop_902_0,0.8459504,0.78178126,70,90
300,CSM8_reloop_419_0,0.8541289,0.68631756,64,76
301,hit6_reloop_1199_0,0.847048,0.61752987,62,83
302,hit6_reloop_1467_0,0.8298722,0.69595677,67,83
303,hit6_reloop_1164_0,0.8356846,0.60477,59,79
304,CSM8_reloop_1429_0,0.8782712,0.590717,58,75
305,CSM8_reloop_1145_0,0.78635865,0.5470461,63,79
306,CSM8_swap_643_0,0.829992,0.5716126,57,68
307,CSM8_reloop_476_0,0.80810034,0.5933341,67,88
308,CSM8_reloop_188_0,0.8449237,0.73669153,61,72
309,hit6_reloop_1408_0,0.8370754,0.70186776,68,79
310,hit6_reloop_990_0,0.84658045,0.64846534,58,76
311,CSM8_reloop_175_0,0.8447639,0.64546275,65,85
312,CSM8_reloop_1446_0,0.8305853,0.65202713,58,75
313,CSM8_swap_340_0,0.83877367,0.56640667,57,66
314,hit6_reloop_396_0,0.81877124,0.61750895,60,77
315,hit6_swap_1470_0,0.8167031,0.6001924,56,73
316,hit6_reloop_668_0,0.83748,0.64013374,59,72
317,CSM8_swap_946_0,0.8138158,0.646701,59,78
318,CSM8_swap_1488_0,0.8321543,0.62754107,59,72
319,hit6_swap_619_0,0.8018305,0.55576855,55,70
320,CSM8_swap_1176_0,0.7841763,0.5151511,60,77
321,CSM8_swap_1475_0,0.84263647,0.6669035,63,76
322,hit6_reloop_695_0,0.8422061,0.6613191,57,72
323,hit6_swap_1173_0,0.831315,0.58492297,66,75
324,CSM8_reloop_251_0,0.830968,0.65004337,58,77
325,CSM8_swap_567_0,0.8048655,0.5268619,59,74
326,CSM8_reloop_1261_0,0.8619129,0.57069373,61,78
327,CSM8_reloop_752_0,0.84069955,0.6175669,59,76
328,hit6_swap_1257_0,0.83969694,0.6913623,56,75
329,CSM8_reloop_857_0,0.8241217,0.60002923,63,74
330,CSM8_swap_1252_0,0.8612463,0.56857884,62,73
331,CSM8_swap_1075_0,0.8117104,0.49600118,66,82
332,hit6_normal_84_0,0.8961454,0.44491374,58,72
333,CSM8_swap_845_0,0.80410683,0.5708781,63,79
334,hit6_reloop_295_0,0.81495047,0.6622026,61,80
335,hit6_reloop_268_0,0.8358659,0.727192,61,78
336,hit6_swap_1070_0,0.84093076,0.4916314,66,78
337,CSM8_normal_81_0,0.9056207,0.5549991,58,67
338,hit6_reloop_796_0,0.82392323,0.6050247,62,82
339,hit6_swap_219_0,0.8406163,0.5921764,64,75
340,hit6_normal_79_0,0.8821508,0.5490747,58,72
341,CSM8_swap_1088_0,0.87150705,0.61291015,60,73
342,CSM8_reloop_575_0,0.83915424,0.704289,60,80
343,CSM8_swap_740_0,0.7902527,0.5164909,59,75
344,CSM8_reloop_1046_0,0.8196287,0.5899297,68,83
345,CSM8_swap_243_0,0.8500444,0.5737007,65,83
346,CSM8_reloop_588_0,0.8562697,0.53048056,67,79
347,hit6_reloop_1008_0,0.85203415,0.516113,59,74
348,hit6_reloop_893_0,0.83695096,0.68379253,64,80
349,hit6_swap_1354_0,0.85778874,0.555413,67,81
350,CSM8_swap_15_0,0.8471326,0.5741171,60,79
351,CSM8_swap_1351_0,0.8573588,0.65773875,64,76
352,CSM8_reloop_954_0,0.7902262,0.56408614,66,78
353,CSM8_swap_499_0,0.85302794,0.49361503,66,76
354,CSM8_swap_167_0,0.8153553,0.67942333,65,81
355,CSM8_reloop_352_0,0.8496334,0.6710531,59,80
356,CSM8_reloop_651_0,0.82905346,0.6875094,65,86
357,CSM8_reloop_1362_0,0.822701,0.60833544,60,77
358,CSM8_swap_464_0,0.8356911,0.653051,60,71
359,CSM8_swap_108_0,0.8373095,0.5276392,65,77
360,hit6_reloop_1343_0,0.8610756,0.58824605,59,72
361,hit6_reloop_123_0,0.8075275,0.5971697,65,79
362,hit6_swap_152_0,0.8139843,0.5883556,59,78
363,hit6_swap_451_0,0.8358763,0.5652552,56,72
364,hit6_reloop_420_0,0.8729018,0.5915592,64,77
365,CSM8_swap_87_0,0.7937255,0.5355895,62,78
366,hit6_reloop_801_0,0.84012437,0.7381242,60,77
367,hit6_swap_91_0,0.8271734,0.60936654,61,79
368,CSM8_reloop_1029_0,0.8247818,0.6425356,70,88
369,hit6_reloop_1067_0,0.845763,0.72917163,60,76
370,hit6_swap_775_0,0.8335925,0.6909468,62,76
371,hit6_reloop_704_0,0.8184666,0.54129076,60,80
372,CSM8_normal_13_0,0.8817349,0.6088385,58,72
373,hit6_reloop_207_0,0.8377985,0.607884,63,75
374,hit6_normal_16_0,0.8844754,0.5905666,58,75
375,hit6_swap_276_0,0.8521972,0.6805308,66,75
376,CSM8_reloop_521_0,0.82606524,0.5838504,67,82
377,CSM8_reloop_1012_0,0.8464645,0.53659856,62,75
378,CSM8_swap_714_0,0.80817324,0.5830588,66,79
379,CSM8_swap_217_0,0.87507606,0.5848759,60,71
380,hit6_swap_57_0,0.83088,0.6188738,58,73
381,CSM8_swap_811_0,0.83230877,0.5719377,55,64
382,CSM8_swap_1021_0,0.84905934,0.52155375,55,68
383,CSM8_normal_28_0,0.9104633,0.59780794,58,70
384,CSM8_swap_133_0,0.8600297,0.564955,65,77
385,hit6_reloop_1378_0,0.8474358,0.7317877,62,78
386,CSM8_reloop_306_0,0.862961,0.6938678,63,75
387,CSM8_reloop_605_0,0.8371926,0.6520677,59,76
388,hit6_reloop_1385_0,0.852763,0.6880998,58,70
389,CSM8_swap_430_0,0.84222144,0.62911594,63,73
390,CSM8_reloop_1336_0,0.8144694,0.599093,68,89
391,hit6_reloop_118_0,0.8778899,0.66363144,69,84
392,CSM8_swap_41_0,0.84393364,0.5194828,60,77
393,hit6_swap_1300_0,0.82576966,0.53372055,63,74
394,hit6_swap_169_0,0.8578539,0.6355238,63,78
395,hit6_swap_497_0,0.8406074,0.58784944,56,70
396,CSM8_reloop_0_0,0.79434997,0.5222804,67,78
397,hit6_swap_194_0,0.8237967,0.63150114,58,75
398,CSM8_swap_1305_0,0.82748353,0.49217737,61,76
399,CSM8_reloop_900_0,0.8411861,0.6337782,62,79
400,hit6_reloop_489_0,0.82087034,0.6386103,67,78
401,hit6_reloop_177_0,0.8855593,0.6283311,62,74
402,CSM8_reloop_992_0,0.8298294,0.64811563,61,73
403,CSM8_swap_1397_0,0.8094048,0.5604093,58,76
404,hit6_swap_106_0,0.8043752,0.5711442,63,73
405,hit6_swap_1392_0,0.8563046,0.61900896,54,66
406,hit6_reloop_474_0,0.82132494,0.558514,68,81
407,hit6_reloop_1317_0,0.8082284,0.60852885,60,75
408,CSM8_reloop_369_0,0.8146237,0.5614883,60,72
409,CSM8_reloop_697_0,0.8263808,0.6367796,68,79
410,CSM8_reloop_394_0,0.84035826,0.66689926,57,72
411,CSM8_reloop_1359_0,0.8420034,0.7454526,65,80
412,hit6_swap_721_0,0.8302457,0.6600341,58,67
413,CSM8_normal_47_0,0.86168814,0.552514,58,74
414,hit6_reloop_253_0,0.8241774,0.6533882,64,81
415,CSM8_swap_883_0,0.832029,0.5268794,58,74
416,hit6_normal_42_0,0.88241196,0.598953,58,73
417,hit6_swap_222_0,0.83878446,0.6932051,63,73
418,hit6_reloop_855_0,0.8355197,0.7200564,66,77
419,hit6_swap_824_0,0.8050584,0.58552206,66,81
420,CSM8_swap_285_0,0.81620187,0.548529,57,69
421,CSM8_reloop_1080_0,0.8615245,0.6433257,65,76
422,CSM8_swap_278_0,0.8369762,0.5916737,60,73
423,CSM8_swap_786_0,0.8484652,0.589148,62,72
424,hit6_swap_38_0,0.8789242,0.6042699,59,68
425,hit6_reloop_1033_0,0.81229717,0.6109103,63,84
426,CSM8_reloop_794_0,0.8119436,0.6338258,63,83
427,hit6_reloop_1214_0,0.861334,0.62326384,68,88
428,CSM8_reloop_297_0,0.8001273,0.59132254,67,84
429,CSM8_reloop_769_0,0.8111916,0.5541142,59,79
430,CSM8_swap_1294_0,0.8245633,0.69537246,66,85
431,CSM8_reloop_891_0,0.8147614,0.58697635,65,82
432,hit6_reloop_577_0,0.8425198,0.7761731,70,91
433,hit6_swap_1291_0,0.87271166,0.64266104,65,75
434,hit6_swap_506_0,0.85548276,0.5318176,62,74
435,CSM8_swap_1269_0,0.84013957,0.5824939,63,78
436,CSM8_swap_386_0,0.85769963,0.5527109,57,76
437,CSM8_swap_678_0,0.79338413,0.55516475,56,74
438,hit6_swap_927_0,0.8567673,0.6095342,64,79
439,CSM8_reloop_1480_0,0.8361548,0.70598066,68,84
440,hit6_reloop_1433_0,0.8304556,0.63209766,59,74
441,hit6_reloop_1130_0,0.852557,0.65692544,68,83
442,CSM8_swap_685_0,0.80595064,0.5733956,61,73
443,CSM8_reloop_1183_0,0.86053234,0.6268292,61,79
444,hit6_reloop_653_0,0.81506455,0.58743423,66,83
445,hit6_reloop_64_0,0.8412189,0.735418,66,82
446,hit6_swap_622_0,0.80350596,0.5873855,61,79
447,hit6_swap_321_0,0.83541244,0.63898486,65,77
448,CSM8_reloop_61_0,0.83808935,0.7162872,68,81
449,CSM8_swap_980_0,0.8487609,0.53298384,64,80
450,hit6_swap_1148_0,0.842717,0.6123644,56,73
451,hit6_reloop_350_0,0.835567,0.6588801,66,84
452,hit6_reloop_99_0,0.8383216,0.7219026,64,80
453,hit6_swap_1424_0,0.81055623,0.58216643,62,77
454,CSM8_swap_1122_0,0.7805381,0.5365954,65,76
455,CSM8_swap_912_0,0.8244914,0.46644598,65,79
456,CSM8_swap_1421_0,0.79719883,0.5259627,63,75
457,hit6_swap_1127_0,0.8163773,0.56548107,59,75
458,CSM8_swap_617_0,0.8396056,0.6486279,54,64
459,hit6_swap_948_0,0.8348176,0.6105094,62,76
460,CSM8_reloop_1111_0,0.7797576,0.6061879,68,83
