,name,full_native_rif_score,full_native_rif_bb-hbond,full_native_rif_hyd-cont,full_native_rif_hyd-ddg,just_trp_rif_score,just_trp_rif_bb-hbond,just_trp_rif_hyd-cont,just_trp_rif_hyd-ddg
22,HHH_b1_02460_000000155_std_0001_0001,1.629,0.0,0.0,-0.0,1.629,0.0,0.0,-0.0
23,HHH_b1_07510_000000190_std_0001_0001,0.512,0.0,0.0,-0.0,0.512,0.0,0.0,-0.0
24,HHH_b1_02540_000000260_std_0001_0001,-1.013,0.0,0.0,-0.0,-1.013,0.0,0.0,-0.0
25,HHH_b1_04345_000000065_std_0001_0001,0.943,0.0,0.0,-0.0,0.943,0.0,0.0,-0.0
26,HHH_b2_05269_000000088_std_0001_0001,-0.355,0.0,0.0,-0.0,-0.355,0.0,0.0,-0.0
27,HHH_b1_02098_000000074_std_0001_0001,-0.077,0.0,0.0,-0.0,-0.077,0.0,0.0,-0.0
28,HHH_b2_05586_000000239_std_0001_0001,105.03,0.0,0.0,-0.0,105.03,0.0,0.0,-0.0
29,HHH_b1_07142_000000190_std_0001_0001,-0.031,0.0,0.0,-0.0,-0.031,0.0,0.0,-0.0
30,HHH_b1_02879_000000242_std_0001_0001,-1.271,0.0,0.0,-0.0,-1.271,0.0,0.0,-0.0
31,HHH_b1_01536_000000083_std_0001_0001,-0.84,0.0,0.0,-0.0,-0.84,0.0,0.0,-0.0
32,HHH_b2_02272_000000224_std_0001_0001,-0.777,0.0,0.0,-0.0,-0.777,0.0,0.0,-0.0
33,m_HHH_b2_03595_000000157_std_0001_1_16_H_._HHH_b1_04153_0001_0002_0001_0001,-1.936,0.0,0.0,-0.0,-1.936,0.0,0.0,-0.0
34,HHH_b1_08061_000000245_std_0001_0001,0.38,0.0,0.0,-0.0,0.38,0.0,0.0,-0.0
35,HHH_b2_04448_000000296_std_0001_0001,246.605,0.0,0.0,-0.0,246.605,0.0,0.0,-0.0
36,m_HHH_b2_08174_000000191_std_0001_41_56_H_._HHH_b2_03195_0001_0001_0001,55.592,0.0,0.0,-0.0,55.592,0.0,0.0,-0.0
37,HHH_b2_06776_000000119_std_0001_0001,0.676,0.0,0.0,-0.0,0.676,0.0,0.0,-0.0
38,HHH_b1_08698_000000085_std_0001_0001,3.508,0.0,0.0,-0.0,3.508,0.0,0.0,-0.0
39,HHH_b1_04120_000000055_std_0001_0001,0.231,0.0,0.0,-0.0,0.231,0.0,0.0,-0.0
40,HHH_b1_02358_000000179_std_0001_0001,-1.2,0.0,0.0,-0.0,-1.2,0.0,0.0,-0.0
41,HHH_b2_05220_000000109_std_0001_0001,1.264,0.0,0.0,-0.0,1.264,0.0,0.0,-0.0
42,HHH_b2_02819_000000186_std_0001_0001,-0.465,0.0,0.0,-0.0,-0.465,0.0,0.0,-0.0
43,m_HHH_b1_06626_000000196_std_0001_23_34_H_._HHH_b1_05609_0001_0001_0001,0.849,0.0,0.0,-0.0,0.849,0.0,0.0,-0.0
44,HHH_b1_04115_000000027_std_0001_0001,-0.32,0.0,0.0,-0.0,-0.32,0.0,0.0,-0.0
45,HHH_b1_05609_000000039_std_0001_0001,0.329,0.0,0.0,-0.0,0.329,0.0,0.0,-0.0
46,HHH_b2_02598_000000131_std_0001_0001,-0.098,0.0,0.0,-0.0,-0.098,0.0,0.0,-0.0
47,m_HHH_b1_01043_000000000_nat_0001_24_38_H_._HHH_b2_01260_0001_0001_0001,-1.353,0.0,0.0,-0.0,-1.353,0.0,0.0,-0.0
48,HHH_b2_06023_000000244_std_0001_0001,-1.084,0.0,0.0,-0.0,-1.084,0.0,0.0,-0.0
49,m_HHH_b2_04838_000000165_std_0001_2_14_H_._HHH_b1_05891_0001_0001_0001,3.293,-0.017,0.0,-0.0,3.293,-0.017,0.0,-0.0
50,HHH_b2_00297_000000252_std_0001_0001,-0.148,0.0,0.0,-0.0,-0.148,0.0,0.0,-0.0
51,HHH_b1_00386_000000100_std_0001_0001,0.648,0.0,0.0,-0.0,0.648,0.0,0.0,-0.0
52,HHH_b2_03009_000000135_std_0001_0001,-1.834,0.0,0.0,-0.0,-1.834,0.0,0.0,-0.0
53,HHH_b2_00844_000000036_std_0001_0001,-0.821,0.0,0.0,-0.0,-0.821,0.0,0.0,-0.0
54,HHH_b1_04286_000000010_std_0001_0001,-0.452,0.0,0.0,-0.0,-0.452,0.0,0.0,-0.0
55,HHH_b1_05270_000000248_std_0001_0001,0.089,0.0,0.0,-0.0,0.089,0.0,0.0,-0.0
56,m_HHH_b2_05997_000000153_std_0001_5_17_H_._HHH_b2_07811_0001_0001_0001,-0.7,0.0,0.0,-0.0,-0.7,0.0,0.0,-0.0
57,HHH_b1_01485_000000001_std_0001_0001,-0.513,0.0,0.0,-0.0,-0.513,0.0,0.0,-0.0
58,HHH_b2_04595_000000253_std_0001_0001,0.985,0.0,0.0,-0.0,0.985,0.0,0.0,-0.0
59,HHH_b2_04480_000000136_nat_0001_0001,-1.884,0.0,2.0,-4.76,-1.884,0.0,2.0,-4.76
60,HHH_b2_03542_000000225_std_0001_0001,0.615,0.0,0.0,-0.0,0.615,0.0,0.0,-0.0
61,HHH_b2_00604_000000085_std_0001_0001_1,0.238,0.0,0.0,-0.0,0.238,0.0,0.0,-0.0
62,HHH_b2_04644_000000032_std_0001_0001,1.692,0.0,0.0,-0.0,1.692,0.0,0.0,-0.0
63,HHH_b1_01226_000000155_std_0001_0001,-0.678,0.0,0.0,-0.0,-0.678,0.0,0.0,-0.0
64,m_HHH_b1_07950_000000226_std_0001_44_55_H_._HHH_b1_03339_0001_0001_0001,-0.185,0.0,0.0,-0.0,-0.185,0.0,0.0,-0.0
65,HHH_b2_07102_000000141_std_0001_0001,-0.48,0.0,0.0,-0.0,-0.48,0.0,0.0,-0.0
66,HHH_b1_02859_000000004_std_0001_0001,-1.291,0.0,0.0,-0.0,-1.291,0.0,0.0,-0.0
67,HHH_b1_03950_000000048_std_0001_0001,0.057,0.0,0.0,-0.0,0.057,0.0,0.0,-0.0
68,HHH_b2_07352_000000050_std_0001_0001,0.486,0.0,0.0,-0.0,0.486,0.0,0.0,-0.0
69,HHH_b1_08546_000000247_nat_0001_0001,4.487,0.0,2.0,-5.04,4.41,0.0,2.0,-5.04
70,m_HHH_b1_06626_000000196_std_0001_23_34_H_._HHH_b1_07749_0001_0001_0001_0001,2.598,0.0,0.0,-0.0,2.598,0.0,0.0,-0.0
71,m_HHH_b1_06626_000000196_std_0001_23_34_H_._HHH_b2_04598_0001_0001_0001_1,6.785,0.0,0.0,-0.0,6.785,0.0,0.0,-0.0
72,HHH_b2_05266_000000207_std_0001_0001,-2.026,0.0,0.0,-0.0,-2.026,0.0,0.0,-0.0
73,HHH_b2_03660_000000029_std_0001_0001,3.183,0.0,0.0,-0.0,3.183,0.0,0.0,-0.0
74,HHH_b2_01821_000000037_std_0001_0001,0.634,0.0,0.0,-0.0,0.634,0.0,0.0,-0.0
75,HHH_b1_00305_000000127_std_0001_0001,1.534,0.0,0.0,-0.0,1.534,0.0,0.0,-0.0
76,HHH_b1_05395_000000078_nat_0001_0001,0.088,0.0,0.0,-0.0,0.088,0.0,0.0,-0.0
77,HHH_b2_05137_000000224_std_0001_0001,0.066,0.0,0.0,-0.0,0.066,0.0,0.0,-0.0
78,HHH_b2_06567_000000288_std_0001_0001,-0.401,0.0,0.0,-0.0,-0.401,0.0,0.0,-0.0
79,HHH_b2_03387_000000291_std_0001_0001,0.303,0.0,0.0,-0.0,0.303,0.0,0.0,-0.0
80,HHH_b1_02226_000000028_std_0001_0001,0.329,0.0,0.0,-0.0,0.329,0.0,0.0,-0.0
81,HHH_b1_00091_000000036_std_0001_0001,-0.477,0.0,0.0,-0.0,-0.477,0.0,0.0,-0.0
82,HHH_b1_00949_000000158_std_0001_0001,0.272,0.0,0.0,-0.0,0.272,0.0,0.0,-0.0
83,m_HHH_b1_06206_000000204_std_0001_28_39_H_._HHH_b2_03716_0001_0001_0001,167.883,0.0,0.0,-0.0,167.883,0.0,0.0,-0.0
84,HHH_b1_07355_000000168_std_0001_0001,-1.137,0.0,0.0,-0.0,-1.137,0.0,0.0,-0.0
85,m_HHH_b1_04812_000000277_std_0001_46_56_H_._HHH_b2_02408_0001_0001_0001_0001,3.531,0.0,0.0,-0.0,3.531,0.0,0.0,-0.0
86,HHH_b1_02923_000000216_std_0001_0001_1,4.384,0.0,0.0,-0.0,4.384,0.0,0.0,-0.0
87,m_HHH_b2_00301_000000152_std_0001_4_20_H_._HHH_b2_03574_0001_0001_0001_0001,115.212,0.0,0.0,-0.0,115.212,0.0,0.0,-0.0
88,HHH_b1_01150_000000169_nat_0001_0001,1.274,0.0,2.0,-5.32,1.274,0.0,2.0,-5.32
89,m_HHH_b1_08663_000000206_std_0001_24_39_H_._HHH_b2_00750_0001_0001_0001,0.091,0.0,0.0,-0.0,0.091,0.0,0.0,-0.0
90,HHH_b1_07544_000000062_std_0001_0001,0.279,0.0,0.0,-0.0,0.279,0.0,0.0,-0.0
91,HHH_b1_00042_000000013_std_0001_0001,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0
92,HHH_b2_01017_000000167_std_0001_0001,-1.288,0.0,0.0,-0.0,-1.288,0.0,0.0,-0.0
93,HHH_b2_05059_000000274_nat_0001_0001,0.726,0.0,0.0,-0.0,0.726,0.0,0.0,-0.0
94,HHH_b1_07452_000000013_std_0001_0001,-0.851,0.0,0.0,-0.0,-0.851,0.0,0.0,-0.0
95,HHH_b1_00301_000000139_std_0001_0001,-1.265,0.0,0.0,-0.0,-1.265,0.0,0.0,-0.0
96,HHH_b1_05753_000000276_std_0001_0001,-1.668,0.0,0.0,-0.0,-1.668,0.0,0.0,-0.0
97,HHH_b1_02423_000000159_std_0001_0001,0.051,0.0,0.0,-0.0,0.051,0.0,0.0,-0.0
98,HHH_b2_06542_000000091_std_0001_0001,-0.627,0.0,0.0,-0.0,-0.627,0.0,0.0,-0.0
99,HHH_b2_05899_000000069_std_0001_0001,-1.039,0.0,0.0,-0.0,-1.039,0.0,0.0,-0.0
100,HHH_b2_02867_000000244_std_0001_0001,1.045,0.0,0.0,-0.0,1.045,0.0,0.0,-0.0
101,m_HHH_b1_07103_000000040_std_0001_22_33_H_._HHH_b1_00148_0001_0001_0001,-0.369,0.0,0.0,-0.0,-0.369,0.0,0.0,-0.0
102,HHH_b1_02090_000000080_std_0001_0001,-0.435,0.0,0.0,-0.0,-0.435,0.0,0.0,-0.0
103,HHH_b1_02698_000000207_std_0001_0001,-1.464,0.0,0.0,-0.0,-1.464,0.0,0.0,-0.0
104,m_HHH_b2_07336_000000188_std_0001_41_56_H_._HHH_b1_02344_0001_0001_0001,-0.508,0.0,0.0,-0.0,-0.508,0.0,0.0,-0.0
105,HHH_b1_07778_000000243_std_0001_0001,-1.572,0.0,0.0,-0.0,-1.572,0.0,0.0,-0.0
106,HHH_b2_08258_000000098_std_0001_0001,0.026,0.0,0.0,-0.0,0.026,0.0,0.0,-0.0
107,HHH_b1_01001_000000128_std_0001_0001,-0.987,0.0,0.0,-0.0,-0.987,0.0,0.0,-0.0
108,m_HHH_b2_08322_000000041_std_0001_1_15_H_._HHH_b2_06657_0001_0004_0001_0001,-0.935,0.0,0.0,-0.0,-0.935,0.0,0.0,-0.0
109,HHH_b1_02622_000000158_std_0001_0001,21.486,0.0,0.0,-0.0,21.486,0.0,0.0,-0.0
110,HHH_b2_01139_000000021_std_0001_0001,0.361,0.0,0.0,-0.0,0.361,0.0,0.0,-0.0
111,HHH_b2_02185_000000251_std_0001_0001_1,35.434,0.0,0.0,-0.0,35.434,0.0,0.0,-0.0
112,HHH_b1_07264_000000062_std_0001_0001,0.994,0.0,0.0,-0.0,0.994,0.0,0.0,-0.0
113,HHH_b2_04102_000000232_std_0001_0001,-0.721,0.0,0.0,-0.0,-0.721,0.0,0.0,-0.0
114,HHH_b2_04306_000000124_std_0001_0001,-1.176,0.0,0.0,-0.0,-1.176,0.0,0.0,-0.0
115,m_HHH_b2_05997_000000153_std_0001_1_17_H_._HHH_b1_01150_0001_0001_0001,0.088,0.0,0.0,-0.0,0.088,0.0,0.0,-0.0
116,HHH_b2_04990_000000176_std_0001_0001,0.405,0.0,0.0,-0.0,0.405,0.0,0.0,-0.0
117,HHH_b1_01424_000000051_std_0001_0001,-0.717,0.0,0.0,-0.0,-0.717,0.0,0.0,-0.0
118,HHH_b2_00986_000000017_std_0001_0001,-0.13,0.0,0.0,-0.0,-0.13,0.0,0.0,-0.0
119,HHH_b1_06700_000000179_std_0001_0001,-1.387,0.0,0.0,-0.0,-1.387,0.0,0.0,-0.0
120,HHH_b1_05611_000000153_std_0001_0001,-0.688,0.0,0.0,-0.0,-0.688,0.0,0.0,-0.0
121,HHH_b2_06263_000000263_std_0001_0001,0.499,0.0,0.0,-0.0,0.499,0.0,0.0,-0.0
122,HHH_b1_08760_000000057_std_0001_0001,-0.412,0.0,0.0,-0.0,-0.412,0.0,0.0,-0.0
123,HHH_b1_05810_000000228_std_0001_0001,1.294,0.0,0.0,-0.0,1.294,0.0,0.0,-0.0
124,HHH_b2_05370_000000263_std_0001_0001,-0.045,0.0,0.0,-0.0,-0.045,0.0,0.0,-0.0
125,HHH_b2_04111_000000229_std_0001_0001,-1.739,0.0,0.0,-0.0,-1.739,0.0,0.0,-0.0
126,HHH_b2_07280_000000152_std_0001_0001,-0.04,0.0,0.0,-0.0,-0.04,0.0,0.0,-0.0
127,HHH_b2_00369_000000141_std_0001_0001,-0.775,0.0,0.0,-0.0,-0.775,0.0,0.0,-0.0
128,m_HHH_b2_05533_000000248_std_0001_27_38_H_._HHH_b2_02600_0001_0001_0001_0001,-1.672,0.0,0.0,-0.0,-1.672,0.0,0.0,-0.0
129,HHH_b2_01546_000000191_std_0001_0001,-0.531,0.0,0.0,-0.0,-0.531,0.0,0.0,-0.0
130,m_HHH_b2_07455_000000297_std_0001_25_35_H_._HHH_b1_03410_0001_0001_0001,86.789,0.0,0.0,-0.0,86.789,0.0,0.0,-0.0
131,HHH_b2_04567_000000064_std_0001_0001,-0.542,0.0,0.0,-0.0,-0.542,0.0,0.0,-0.0
132,HHH_b1_02861_000000126_std_0001_0001,-0.003,0.0,0.0,-0.0,-0.003,0.0,0.0,-0.0
133,HHH_b2_07701_000000157_std_0001_0001,-0.302,0.0,0.0,-0.0,-0.302,0.0,0.0,-0.0
134,m_HHH_b2_07455_000000297_std_0001_25_35_H_._HHH_b2_02100_0001_0001_0001,123.94,0.0,0.0,-0.0,123.94,0.0,0.0,-0.0
135,HHH_b1_02636_000000070_std_0001_0001,1.282,0.0,0.0,-0.0,1.282,0.0,0.0,-0.0
136,HHH_b1_02753_000000173_std_0001_0001,-1.859,0.0,0.0,-0.0,-1.859,0.0,0.0,-0.0
137,m_HHH_b1_04139_000000186_std_0001_4_19_H_._HHH_b2_02940_0001_0001_0001_0001,0.921,0.0,0.0,-0.0,0.921,0.0,0.0,-0.0
138,m_HHH_b2_08174_000000191_std_0001_41_56_H_._HHH_b1_06589_0001_0001_0001_0001,8.552,0.0,0.0,-0.0,8.552,0.0,0.0,-0.0
139,HHH_b1_06717_000000087_std_0001_0001,0.187,0.0,0.0,-0.0,0.187,0.0,0.0,-0.0
140,HHH_b2_05299_000000026_std_0001_0001,-0.156,0.0,0.0,-0.0,-0.156,0.0,0.0,-0.0
141,HHH_b1_05812_000000280_std_0001_0001,-0.916,0.0,0.0,-0.0,-0.916,0.0,0.0,-0.0
142,HHH_b2_03676_000000052_std_0001_0001,-0.366,0.0,0.0,-0.0,-0.366,0.0,0.0,-0.0
143,HHH_b2_02492_000000210_std_0001_0001,0.122,0.0,0.0,-0.0,0.122,0.0,0.0,-0.0
144,HHH_b2_07362_000000111_std_0001_0001,-0.456,0.0,0.0,-0.0,-0.456,0.0,0.0,-0.0
145,HHH_b1_07803_000000184_nat_0001_0001,-0.013,0.0,0.0,-0.0,-0.013,0.0,0.0,-0.0
146,HHH_b1_06451_000000238_std_0001_0001,-0.465,-0.886,0.0,-0.0,-0.465,-0.886,0.0,-0.0
147,m_HHH_b1_00493_000000142_std_0001_28_35_H_._HHH_b1_07586_0001_0001_0001_0001,-0.958,0.0,0.0,-0.0,-0.958,0.0,0.0,-0.0
148,m_HHH_b1_03149_000000023_nat_0001_23_37_H_._HHH_b1_08533_0001_0001_0001,-0.892,0.0,0.0,-0.0,-0.892,0.0,0.0,-0.0
149,m_HHH_b1_02377_000000262_std_0001_24_39_H_._HHH_b1_04136_0001_0001_0001,-2.362,-0.017,0.0,-0.0,-2.362,-0.017,0.0,-0.0
150,HHH_b1_00745_000000004_std_0001_0001,-0.277,0.0,0.0,-0.0,-0.277,0.0,0.0,-0.0
151,HHH_b2_01365_000000205_std_0001_0001,0.046,0.0,0.0,-0.0,0.046,0.0,0.0,-0.0
152,m_HHH_b1_06568_000000270_std_0001_41_56_H_._HHH_b2_01987_0001_0001_0001,157.496,0.0,0.0,-0.0,157.496,0.0,0.0,-0.0
153,HHH_b2_07614_000000021_std_0001_0001,-2.027,0.0,0.0,-0.0,-2.027,0.0,0.0,-0.0
154,HHH_b2_06303_000000048_std_0001_0001,0.526,0.0,0.0,-0.0,0.526,0.0,0.0,-0.0
155,HHH_b2_01605_000000039_std_0001_0001,0.248,0.0,0.0,-0.0,0.248,0.0,0.0,-0.0
156,HHH_b1_03094_000000276_std_0001_0001,3.001,0.0,0.0,-0.0,3.001,0.0,0.0,-0.0
157,HHH_b1_00010_000000157_std_0001_0001,0.732,0.0,0.0,-0.0,0.732,0.0,0.0,-0.0
158,HHH_b2_07408_000000115_std_0001_0001,-0.58,0.0,0.0,-0.0,-0.58,0.0,0.0,-0.0
159,HHH_b2_00387_000000026_std_0001_0001,-0.055,0.0,0.0,-0.0,-0.055,0.0,0.0,-0.0
160,HHH_b2_03213_000000204_std_0001_0001,-1.096,0.0,0.0,-0.0,-1.096,0.0,0.0,-0.0
161,HHH_b2_00816_000000034_std_0001_0001,-0.607,0.0,0.0,-0.0,-0.607,0.0,0.0,-0.0
162,HHH_b2_08196_000000237_std_0001_0001,-0.78,0.0,0.0,-0.0,-0.78,0.0,0.0,-0.0
163,HHH_b1_01386_000000224_nat_0001_0001,0.307,0.0,2.0,-3.92,0.23,0.0,2.0,-3.92
164,HHH_b2_05602_000000289_std_0001_0001,-1.375,0.0,0.0,-0.0,-1.375,0.0,0.0,-0.0
165,m_HHH_b1_07962_000000024_nat_0001_22_34_H_._HHH_b1_02506_0001_0001_0001,-1.055,0.0,0.0,-0.0,-1.055,0.0,0.0,-0.0
166,m_HHH_b2_01580_000000242_std_0001_20_34_H_._HHH_b1_07775_0001_0001_0001,1.748,0.0,0.0,-0.0,1.748,0.0,0.0,-0.0
167,HHH_b2_00070_000000020_std_0001_0001,0.133,0.0,0.0,-0.0,0.133,0.0,0.0,-0.0
168,HHH_b1_05718_000000002_std_0001_0001,-0.45,0.0,0.0,-0.0,-0.45,0.0,0.0,-0.0
169,m_HHH_b1_02106_000000193_std_0001_25_36_H_._HHH_b1_06318_0001_0001_0001,-1.434,0.0,0.0,-0.0,-1.434,0.0,0.0,-0.0
170,HHH_b1_03664_000000145_std_0001_0001,-0.606,0.0,0.0,-0.0,-0.606,0.0,0.0,-0.0
171,HHH_b2_05387_000000089_std_0001_0001,-1.21,-0.925,0.0,-0.0,-1.21,-0.925,0.0,-0.0
172,HHH_b2_04461_000000109_std_0001_0001,0.372,0.0,0.0,-0.0,0.372,0.0,0.0,-0.0
173,HHH_b2_01685_000000126_std_0001_0001,-0.935,0.0,0.0,-0.0,-0.935,0.0,0.0,-0.0
174,HHH_b2_03250_000000013_std_0001_0001,-0.773,0.0,0.0,-0.0,-0.773,0.0,0.0,-0.0
175,HHH_b1_08457_000000103_std_0001_0001,1.496,0.0,0.0,-0.0,1.496,0.0,0.0,-0.0
176,HHH_b2_04402_000000227_nat_0001_0001,5.902,0.0,0.0,-0.0,5.902,0.0,0.0,-0.0
177,HHH_b2_02749_000000154_std_0001_0001,-1.362,0.0,0.0,-0.0,-1.362,0.0,0.0,-0.0
178,HHH_b2_03465_000000009_std_0001_0001,-0.649,0.0,0.0,-0.0,-0.649,0.0,0.0,-0.0
179,HHH_b1_02409_000000158_std_0001_0001,-1.25,0.0,0.0,-0.0,-1.25,0.0,0.0,-0.0
180,HHH_b1_02077_000000014_std_0001_0001,6.352,0.0,0.0,-0.0,6.352,0.0,0.0,-0.0
181,HHH_b2_01129_000000180_std_0001_0001,1.218,0.0,0.0,-0.0,1.218,0.0,0.0,-0.0
182,m_HHH_b1_02377_000000262_std_0001_24_39_H_._HHH_b2_04382_0001_0001_0001_0001,149.031,0.0,0.0,-0.0,149.031,0.0,0.0,-0.0
183,HHH_b2_07903_000000278_std_0001_0001,1.323,0.0,0.0,-0.0,1.323,0.0,0.0,-0.0
184,HHH_b1_08366_000000110_nat_0001_0001,0.99,0.0,0.0,-0.0,0.99,0.0,0.0,-0.0
185,m_HHH_b2_06203_000000238_std_0001_3_18_H_._HHH_b2_02441_0001_0001_0001,316.984,0.0,0.0,-0.0,316.984,0.0,0.0,-0.0
186,HHH_b1_03942_000000038_std_0001_0001,1.751,0.0,0.0,-0.0,1.751,0.0,0.0,-0.0
187,HHH_b1_03625_000000025_std_0001_0001,10.152,0.0,0.0,-0.0,10.152,0.0,0.0,-0.0
188,HHH_b1_06214_000000066_std_0001_0001,2.594,0.0,0.0,-0.0,2.594,0.0,0.0,-0.0
189,HHH_b2_01017_000000158_std_0001_0001,-1.488,0.0,0.0,-0.0,-1.488,0.0,0.0,-0.0
190,HHH_b2_06730_000000280_std_0001_0001,-1.585,0.0,0.0,-0.0,-1.585,0.0,0.0,-0.0
191,HHH_b1_01406_000000202_std_0001_0001,0.005,0.0,0.0,-0.0,0.005,0.0,0.0,-0.0
192,HHH_b2_03002_000000195_std_0001_0001,2.099,0.0,0.0,-0.0,2.099,0.0,0.0,-0.0
193,HHH_b2_05762_000000293_std_0001_0001,-0.881,0.0,0.0,-0.0,-0.881,0.0,0.0,-0.0
194,HHH_b1_03120_000000174_std_0001_0001,-1.023,0.0,0.0,-0.0,-1.023,0.0,0.0,-0.0
195,HHH_b1_07972_000000063_std_0001_0001,-0.153,0.0,0.0,-0.0,-0.153,0.0,0.0,-0.0
196,m_HHH_b2_02873_000000284_std_0001_24_40_H_._HHH_b1_07372_0001_0001_0001,-2.262,0.0,0.0,-0.0,-2.262,0.0,0.0,-0.0
197,HHH_b2_02570_000000062_std_0001_0001,1.313,0.0,0.0,-0.0,1.313,0.0,0.0,-0.0
198,HHH_b2_01567_000000247_std_0001_0001,32.402,0.0,0.0,-0.0,32.402,0.0,0.0,-0.0
199,m_HHH_b2_02873_000000284_std_0001_24_40_H_._HHH_b1_01380_0001_0001_0001_0001,7.124,0.0,0.0,-0.0,7.124,0.0,0.0,-0.0
200,HHH_b1_00169_000000120_std_0001_0001,-1.455,0.0,0.0,-0.0,-1.455,0.0,0.0,-0.0
201,HHH_b1_05212_000000192_std_0001_0001,-1.071,0.0,0.0,-0.0,-1.071,0.0,0.0,-0.0
202,HHH_b1_01400_000000201_nat_0001_0001,-0.467,0.0,2.0,-4.48,-0.544,0.0,2.0,-4.48
203,HHH_b1_05812_000000033_std_0001_0001,-1.499,0.0,0.0,-0.0,-1.499,0.0,0.0,-0.0
204,m_HHH_b2_00301_000000152_std_0001_4_20_H_._HHH_b2_02583_0001_0001_0001_0001,42.873,0.0,0.0,-0.0,42.873,0.0,0.0,-0.0
205,HHH_b2_00874_000000099_std_0001_0001,1.323,0.0,0.0,-0.0,1.323,0.0,0.0,-0.0
206,HHH_b1_01414_000000056_std_0001_0001,0.91,0.0,0.0,-0.0,0.91,0.0,0.0,-0.0
207,m_HHH_b1_00184_000000089_nat_0001_21_32_H_._HHH_b2_05288_0001_0001_0001_0001,4.193,0.0,0.0,-0.0,4.193,0.0,0.0,-0.0
208,m_HHH_b2_03924_000000018_std_0001_24_36_H_._HHH_b1_08154_0001_0002_0001_0001,-0.264,0.0,0.0,-0.0,-0.264,0.0,0.0,-0.0
209,HHH_b1_06678_000000165_std_0001_0001,0.864,0.0,0.0,-0.0,0.864,0.0,0.0,-0.0
210,HHH_b1_02452_000000178_std_0001_0001,0.663,0.0,0.0,-0.0,0.663,0.0,0.0,-0.0
211,m_HHH_b1_08663_000000206_std_0001_24_39_H_._HHH_b2_00008_0001_0001_0001,-2.063,0.0,0.0,-0.0,-2.063,0.0,0.0,-0.0
212,HHH_b2_05963_000000013_std_0001_0001,0.233,0.0,0.0,-0.0,0.233,0.0,0.0,-0.0
213,HHH_b1_06862_000000259_std_0001_0001,-0.852,0.0,0.0,-0.0,-0.852,0.0,0.0,-0.0
214,HHH_b2_04290_000000060_std_0001_0001,-0.899,0.0,0.0,-0.0,-0.899,0.0,0.0,-0.0
